#FILE	NUM_FOUND	aac(3)-IIa_1	aac(3)-IVa_1	aac(6')-Ib-cr_1	aac(6')-Ib_1	aadA2_1	ant(3'')-Ia_1	aph(3'')-Ib_5	aph(3')-Ia_1	aph(4)-Ia_1	aph(6)-Id_1	blaCTX-M-12_1	blaCTX-M-15_1	blaCTX-M-96_1	blaKPC-2_1	blaKPC-3_1	blaOXA-1_1	blaOXA-9_1	blaSHV-104_1	blaSHV-110_1	blaSHV-11_1	blaSHV-145_1	blaTEM-1A_1	blaTEM-1B_1	cmlA1_1	dfrA12_8	dfrA14_5	floR_2	fosA6_1	fosA_5	fosA_6	mph(A)_2	oqxA_1	oqxB_1	qnrB1_1	qnrS1_1	rmtG_1	sul1_5	sul2_2	tet(A)_6
/home/nlazarom/TFM/ecuador/3-resistencia/SRR25759560_resfinder.tab	12	.	.	.	.	97.92	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	100.00	100.00	.
/home/nlazarom/TFM/ecuador/3-resistencia/SRR25759561_resfinder.tab	15	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	100.00	.	.	.	.	100.00	.	100.00	.	.	100.00	.	.	100.00	.	.	100.00	100.00	100.00	.	.	.	100.00	97.80
/home/nlazarom/TFM/ecuador/3-resistencia/SRR25759566_resfinder.tab	17	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	.	100.00	100.00	.	100.00	.	.	100.00	.	.	100.00	.	.	.	100.00	.	97.00	.	.	.	100.00	100.00	100.00	.	100.00	.	100.00	97.80
/home/nlazarom/TFM/ecuador/3-resistencia/SRR25759567_resfinder.tab	19	.	99.87	.	100.00	97.92	82.51	100.00	.	100.00	100.00	.	.	.	.	100.00	.	100.00	90.36	.	.	.	100.00	.	89.13	.	100.00	99.84	.	100.00	.	.	100.00	96.70	.	.	.	.	100.00	97.80
/home/nlazarom/TFM/ecuador/3-resistencia/SRR25759571_resfinder.tab	15	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	97.00	.	.	.	100.00	100.00	100.00	.	100.00	.	100.00	97.80
